state_abbr,county,offense,total_2023,latitude,longitude
MI,MISSAUKEE,Property Crime,106.0,44.325424,-85.085471
WI,VERNON,Violent Crime,20.0,43.65536,-90.85611
KS,LANE,Violent Crime,8.0,38.481286,-100.466185
TN,LEWIS,Violent Crime,32.0,35.55375,-87.54093
MT,PRAIRIE,Property Crime,2.0,46.852434,-105.375808
WV,MONROE,Violent Crime,10.0,37.756214,-81.215546
MN,ISANTI,Violent Crime,46.0,45.57062,-93.226715
IA,WARREN,Property Crime,4822.5,41.336769,-93.564366
MO,MONITEAU,Property Crime,9.0,38.628616,-92.566475
WA,THURSTON,Violent Crime,771.0,46.932598,-122.829441
VA,SCOTT,Violent Crime,42.0,36.63981,-82.578316
TX,WASHINGTON,Property Crime,413.0,30.159338,-96.40511
VA,CAROLINE,Property Crime,245.0,38.030319,-77.352348
FL,BROWARD,Property Crime,16678.0,26.193535,-80.476683
IN,WABASH,Property Crime,0.0,40.843717,-85.795175
NC,NEW HANOVER,Violent Crime,775.0,34.177466,-77.871378
MN,KANDIYOHI,Violent Crime,116.0,45.152714,-95.004981
CA,FRESNO,Violent Crime,6622.0,36.761006,-119.655019
MI,OTSEGO,Violent Crime,63.0,45.027393,-84.671074
TX,HALL,Property Crime,10.0,34.453189,-100.576343
MN,NORMAN,Violent Crime,7.0,47.297764,-96.51433
WI,WAUPACA,Violent Crime,41.5,44.623135,-88.763565
MO,ADAIR,Violent Crime,77.0,40.193413,-92.58316
NC,MADISON,Property Crime,88.0,35.86408,-82.712731
IA,DELAWARE,Violent Crime,40.5,42.473002,-91.359438
CA,LAKE,Property Crime,1044.0,39.047752,-122.91607
AZ,SANTA CRUZ,Property Crime,875.0,31.346354,-110.930916
MN,LINCOLN,Violent Crime,2.0,44.408238,-96.272032
VA,FREDERICKSBURG CITY,Violent Crime,142.0,38.299272,-77.486658
KY,BOONE,Violent Crime,131.0,38.974595,-84.731431
VA,LEE,Violent Crime,34.0,36.701721,-83.130112
MT,GOLDEN VALLEY,Property Crime,0.0,46.380624,-109.174586
