state_abbr,county,latitude,longitude,total_population,poverty_universe,poverty_below,poverty_rate,no_population,total_reported_crime_Violent Crime,total_reported_crime_Property Crime,property_crime_per_100k_Property Crime,violent_crime_per_100k_Violent Crime
KS,RENO,38.053444,-97.93571,61693,58310,7252,0.12436974789916,false,210,1075,1742.49914901204,340.395182597702
IL,PEORIA,40.650146,-89.652,179831,174975,26991,0.154256322331762,false,1567,5234,2910.51042367556,871.373678620483
TX,HOOD,32.430149,-97.831677,64198,63358,5191,0.0819312478297926,false,109,741,1154.24156515779,169.787220785694
WV,TYLER,38.34613,-81.63015,8181,8062,1426,0.176879186306128,false,35,25,305.586114166972,427.820559833761
OR,BAKER,44.791683,-117.84842,16796,16336,2252,0.137855044074437,false,15,205,1220.52869730888,89.3069778518695
MN,DOUGLAS,45.884743,-95.37578,39354,38794,3213,0.0828220858895706,false,47,280.5,712.761091629822,119.428774711592
FL,ALACHUA,29.643612,-82.2908,281751,264520,52015,0.196639195523968,false,1366,5786,2053.58632267499,484.825253503981
MS,PERRY,31.169307,-88.988755,11459,11120,2016,0.181294964028777,false,0,0,0,0
TX,ATASCOSA,28.891397,-98.535381,50058,49117,7924,0.161329071400941,false,124.5,861.5,1721.00363578249,248.711494666187
MN,STEVENS,45.593461,-95.992315,9686,9277,959,0.103373935539506,false,9,60,619.450753665084,92.9176130497626
MS,PANOLA,34.317448,-89.951744,32965,32622,7874,0.241370854024891,false,23,235,712.877294099803,69.7709692097679
TX,HIDALGO,26.396384,-98.18099,880921,872043,237121,0.27191434367342,false,2604,16105,1828.200258593,295.599718930528
NV,LYON,38.995132,-119.16177,60630,60404,6650,0.110092046884312,false,191,411,677.882236516576,315.025564901864
KY,CRITTENDEN,37.334797,-88.08108,8972,8718,1578,0.18100481761872,false,5,44,490.414623272403,55.7289344627731
