Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
727,Appalachian Electric Coop,TN,Cooperative,189.4,332.0,0,966851,0,966851,933393,0,0,1299,32159,966851,100193.0,0.0,0.0,0.0,0.0,3199.0,966851,68245.0,617341.0,39184.0,27151.0,244693.0,6351.0,4797.0,71359.0,5.0,0.0,0.0,0.0,100193.0,933393.0,45540.0,2015
733,Appalachian Power Co,OH,Investor Owned,5729.0,8690.0,27839387,9519139,0,37358526,28810786,5924412,197,0,2623131,37358526,2548731.0,790.0,320400.0,25152.0,56173.0,57412.0,37358526,689507.0,6138299.0,448402.0,359661.0,3956693.0,75307.0,368042.0,5296384.0,1883.0,0.0,0.0,0.0,1417210.0,15391376.0,525592.0,2015
733,Appalachian Power Co,OH,Investor Owned,5729.0,8690.0,27839387,9519139,0,37358526,28810786,5924412,197,0,2623131,37358526,2548731.0,790.0,320400.0,25152.0,56173.0,57412.0,37358526,538835.0,5356583.0,362339.0,303946.0,3552675.0,66288.0,288740.0,4510152.0,2322.0,0.0,0.0,0.0,1131521.0,13419410.0,430949.0,2015
733,Appalachian Power Co,OH,Investor Owned,5729.0,8690.0,27839387,9519139,0,37358526,28810786,5924412,197,0,2623131,37358526,2548731.0,790.0,320400.0,25152.0,56173.0,57412.0,37358526,0.0,0.0,0.0,436.0,52886.0,59.0,354.0,59494.0,5.0,0.0,0.0,0.0,790.0,112380.0,64.0,2015
750,Arab Electric Coop Inc,AL,Cooperative,72.6,96.6,0,351782,0,351782,311213,0,0,454,40115,351782,33297.0,0.0,0.0,0.0,0.0,1255.0,351782,21037.0,197624.0,12480.0,11899.0,109078.0,2851.0,361.0,4511.0,1.0,0.0,0.0,0.0,33297.0,311213.0,15332.0,2015
796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,794.8,310.0,1959042,1143789,0,3125583,0,3061910,0,0,63673,3125583,0.0,0.0,157007.7,0.0,35216.6,9663.5,3125583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
798,Arizona Power Authority,AZ,State,301.5,243.5,0,784320,0,784320,0,760790,0,0,23530,784320,0.0,0.0,29146.0,0.0,0.0,0.0,784320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
803,Arizona Public Service Co,AZ,Investor Owned,7320.0,4391.0,27442278,7772414,0,35078178,27950491,5678363,0,63255,1386069,35078178,3286013.0,0.0,176840.0,0.0,0.0,56792.0,35078178,1701968.0,13159754.0,1046989.0,1397635.0,12515204.0,126761.0,186410.0,2275533.0,3744.0,0.0,0.0,0.0,3286013.0,27950491.0,1177494.0,2015
807,Arkansas Electric Coop Corp,AR,Cooperative,3046.0,3301.0,7782886,6693142,0,14475670,0,14363399,0,0,112271,14475670,0.0,0.0,701323.4,0.0,4029.7,766.3,14475670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
814,Entergy Arkansas Inc,AR,Investor Owned,4665.0,4035.0,24171905,8205153,0,32482449,21160228,10219229,0,24578,1078414,32482449,1820804.6,0.0,323571.4,-159.1,79339.9,14890.4,32482449,816385.5,8016287.0,588065.0,530580.8,6254827.0,92310.0,473817.3,6888937.0,23794.0,12.0,113.0,1.0,1820795.6,21160164.0,704170.0,2015
